vslflgctry,year,quarter,month,area,rect,subrect,focatnat,focateu5,focateu6,harbour,vsllencat,trpnum,fonum,fodur,effkwdays,effgtdays,daysatsea
ITA,2020,2,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL1218,49,,,6500.11808000,915.02173910,49
ITA,2020,2,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL0006,2822,,,8499.19716900,2821.00000000,2821
ITA,2020,2,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL0612,1210,,,21084.16954000,1944.52386800,964
ITA,2020,2,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL1218,79,,,9891.86369600,1261.07608700,79
ITA,2020,2,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL0612,3,,,63.45568106,5.79069767,3
ITA,2020,2,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL1218,152,,,29683.07424000,2724.19021700,152
ITA,2020,2,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL1824,5,,,1718.00000000,240.00000000,5
ITA,2020,2,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL2440,15,,,8151.30000000,1414.50000000,15
ITA,2020,2,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL0612,463,,,7974.26392000,727.69767440,377
ITA,2020,2,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL1218,477,,,94432.16641000,8493.02173900,475
ITA,2020,2,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL1824,12,,,3528.00000000,456.00000000,12
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL0612,110,,,5506.36842100,596.31578950,110
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL1824,2228,,,633016.65650000,117099.86360000,2237
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL2440,321,,,117996.07820000,27309.26364000,321
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_DWS_>=40_0_0,NA,VL1218,115,,,15255.37917000,2147.50000000,115
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_DWS_>=40_0_0,NA,VL1824,68,,,19217.65515000,3557.63636400,68
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_DWS_>=40_0_0,NA,VL2440,77,,,27259.40000000,6496.00000000,77
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_MDD_>=40_0_0,NA,VL1218,63,,,8357.29467400,1176.45652200,63
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_MDD_>=40_0_0,NA,VL1824,112,,,31935.22106000,5911.95454500,113
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_MDD_>=40_0_0,NA,VL2440,36,,,12744.65455000,3037.09090900,36
ITA,2020,2,0,GSA18,NA,NA,PS,NA,PS_SPF_>=14_0_0,NA,VL2440,101,,,45071.95429000,10718.10000000,101
ITA,2020,2,0,GSA18,NA,NA,PTM,NA,PTM_SPF_>=20_0_0,NA,VL1218,36,,,3737.65547100,858.67391300,36
ITA,2020,2,0,GSA18,NA,NA,PTM,NA,PTM_SPF_>=20_0_0,NA,VL1824,85,,,31874.53955000,5066.59090900,85
ITA,2020,2,0,GSA18,NA,NA,PTM,NA,PTM_SPF_>=20_0_0,NA,VL2440,251,,,130642.14250000,23290.26364000,249
ITA,2020,2,0,GSA18,NA,NA,SV,NA,SB-SV_DEF_0_0_0,NA,VL1218,73,,,9683.84938400,1363.19565200,73
ITA,2020,3,0,GSA18,NA,NA,DRB,NA,DRB_MOL_0_0_0,NA,VL0612,230,,,20771.53053000,1940.69473700,230
ITA,2020,3,0,GSA18,NA,NA,DRB,NA,DRB_MOL_0_0_0,NA,VL1218,379,,,41554.47987000,5074.53326100,379
ITA,2020,3,0,GSA18,NA,NA,FPO,NA,FPO_DEF_>0_0_0,NA,VL0612,1690,,,27560.91748000,2515.09302300,1303
ITA,2020,3,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL0006,966,,,2910.39506000,966.00000000,966
ITA,2020,3,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL0612,7222,,,136458.42990000,12555.83109000,6286
ITA,2020,3,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL1218,24,,,3166.43958300,441.87500000,24
ITA,2020,3,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL0006,3454,,,10406.31940000,3454.00000000,3454
ITA,2020,3,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL0612,1218,,,22386.45762000,2043.74663400,1057
ITA,2020,3,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL1218,1,,,115.36375000,12.37500000,1
ITA,2020,3,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL0612,16,,,338.43029900,30.88372093,16
ITA,2020,3,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL1218,552,,,103916.30720000,9858.61413000,548
ITA,2020,3,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL1824,58,,,18761.44015000,3130.13636400,58
ITA,2020,3,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL2440,49,,,21131.83571000,4006.00000000,41
ITA,2020,3,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL0612,532,,,9708.71920300,885.97674420,459
ITA,2020,3,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL1218,368,,,71186.99301000,6502.20652200,363
ITA,2020,3,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL1824,10,,,2940.00000000,380.00000000,10
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL0612,128,,,5800.38450400,620.58751530,128
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL1218,5191,,,688842.94440000,97015.11913000,5195
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL1824,1489,,,421339.83730000,77913.54545000,1488
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL2440,266,,,104585.93640000,22987.22727000,266
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_DWS_>=40_0_0,NA,VL1218,316,,,41919.12884000,5900.95652200,316
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_DWS_>=40_0_0,NA,VL1824,287,,,81109.80924000,15015.31818000,287
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_DWS_>=40_0_0,NA,VL2440,77,,,27259.40000000,6496.00000000,77
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_MDD_>=40_0_0,NA,VL1218,146,,,19367.69877000,2726.39130400,146
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_MDD_>=40_0_0,NA,VL1824,241,,,68109.63076000,12608.68182000,241
ITA,2020,3,0,GSA18,NA,NA,OTB,NA,OTB_MDD_>=40_0_0,NA,VL2440,93,,,32923.69091000,7845.81818200,93
ITA,2020,3,0,GSA18,NA,NA,PS,NA,PS_LPF_0_0_0,NA,VL2440,182,,,43024.10000000,10486.00000000,98
ITA,2020,3,0,GSA18,NA,NA,PS,NA,PS_SPF_>=14_0_0,NA,VL2440,247,,,60145.93571000,14659.00000000,137
