"Species";"Var.2";"ISSCAAP";"TAXOCODE";"Scientific_name";"English_name";"French_name";"Spanish_name";"Arabic_name";"Chinese_name";"Russian_name";"Author";"Family";"Order";"Stats_data"
"MAZ";47;37;"17501002XX";"Scomber spp";"Scomber mackerels nei";"Maquereaux scomber nca";"Caballas scomber nep";"";"";"";"";"Scombridae";"SCOMBROIDEI";"Yes"
"MON";23;34;"1950100101";"Lophius piscatorius";"Angler(=Monk)";"Baudroie commune";"Rape";"????? ????? ????";"??";"???????? ??????????? (=??????? ????)";"Linnaeus 1758";"Lophiidae";"LOPHIIFORMES";"Yes"
"MTS";57;47;"2250100102";"Squilla mantis";"Spottail mantis squillid";"Squille ocellée";"Galera ocelada";"";"";"";"(Linnaues 1758)";"Squillidae";"STOMATOPODA";"Yes"
"MUL";27;33;"16501XXXXX";"Mugilidae";"Mullets nei";"Mulets nca";"Lizas nep";"";"";"?????????";"";"Mugilidae";"MUGILIFORMES";"Yes"
"MUR";29;33;"1704100701";"Mullus surmuletus";"Surmullet";"Rouget de roche";"Salmonete de roca";"??????  ???????? ??? ???????? ?????? ????????";"????";"";"Linnaeus 1758";"Mullidae";"PERCOIDEI";"Yes"
"MUT";28;33;"1704100702";"Mullus barbatus";"Red mullet";"Rouget de vase";"Salmonete de fango";"";"";"???????? ???????????? (=??????????)";"Linnaeus 1758";"Mullidae";"PERCOIDEI";"Yes"
"NEP";30;43;"2294200602";"Nephrops norvegicus";"Norway lobster";"Langoustine";"Cigala";"";"";"";"(Linnaeus 1758)";"Nephropidae";"REPTANTIA";"Yes"
"OCC";31;57;"3210900507";"Octopus vulgaris";"Common octopus";"Pieuvre";"Pulpo común";"";"";"";"Cuvier 1797";"Octopodidae";"CEPHALOPODA";"Yes"
"OCM";14;57;"32109024XX";"Eledone spp";"Horned and musky octopuses";"Élédones communes et musquées";"Pulpos blancos y almizclados";"";"";"";"";"Octopodidae";"CEPHALOPODA";"Yes"
"PAC";34;33;"1703900802";"Pagellus erythrinus";"Common pandora";"Pageot commun";"Breca";"";"";"";"(Linnaeus 1758)";"Sparidae";"PERCOIDEI";"Yes"
"PIL";43;35;"1210506401";"Sardina pilchardus";"European pilchard(=Sardine)";"Sardine commune";"Sardina europea";"????? ??????";"???";"??????? ???????????";"(Walbaum 1792)";"Clupeidae";"CLUPEIFORMES";"Yes"
"POD";63;32;"1480403202";"Trisopterus minutus";"Poor cod";"Capelan de Méditerranée";"Capellán";"";"";"";"(Linnaeus 1758)";"Gadidae";"GADIFORMES";"Yes"
"RJC";41;38;"1100400102";"Raja clavata";"Thornback ray";"Raie bouclée";"Raya de clavos";"";"";"?????? ??????? (=???? ???????)";"Linnaeus 1758";"Rajidae";"RAJIFORMES";"Yes"
"RPG";35;33;"1703919103";"Pagrus pagrus";"Red porgy";"Pagre rouge";"Pargo";"";"";"???? ????????????";"(Linnaeus 1758)";"Sparidae";"PERCOIDEI";"Yes"
"RPW";42;52;"3070201801";"Rapana venosa";"Veined rapa whelk";"Rapana veiné";"Busano veteado";"???????? ????? ????????";"???";"";"(Valenciennes 1846)";"Muricidae";"GASTROPODA";"Yes"
"RSE";48;34;"1780100902";"Scorpaena scrofa";"Red scorpionfish";"Rascasse rouge";"Cabracho";"";"";"";"Linnaeus 1758";"Scorpaenidae";"SCORPAENIFORMES";"Yes"
"SAA";45;35;"1210501210";"Sardinella aurita";"Round sardinella";"Allache";"Alacha";"";"";"?????????? ??????? (=?????)";"Valenciennes 1847";"Clupeidae";"CLUPEIFORMES";"Yes"
"SBA";32;33;"1703900803";"Pagellus acarne";"Axillary seabream";"Pageot acarne";"Aligote";"???? ????? ????";"????";"";"(Risso 1827)";"Sparidae";"PERCOIDEI";"Yes"
"SBG";52;33;"1703923508";"Sparus aurata";"Gilthead seabream";"Dorade royale";"Dorada";"";"";"?????? (=??????)";"Linnaeus 1758";"Sparidae";"PERCOIDEI";"Yes"
"SBR";33;33;"1703900801";"Pagellus bogaraveo";"Blackspot(=red) seabream";"Dorade rose";"Besugo";"????? ????";"????";"?????? ?????????";"(Brünnich 1768)";"Sparidae";"PERCOIDEI";"Yes"
"SHO";17;38;"1080100104";"Galeus melastomus";"Blackmouth catshark";"Chien espagnol";"Pintarroja bocanegra";"";"";"";"Rafinesque 1810";"Scyliorhinidae";"CARCHARHINIFORMES";"Yes"
"SOL";51;31;"1830300701";"Solea solea";"Common sole";"Sole commune";"Lenguado común";"";"???";"";"(Linnaeus 1758)";"Soleidae";"PLEURONECTIFORMES";"Yes"
"SPC";54;33;"1704007502";"Spicara smaris";"Picarel";"Picarel";"Caramel";"????? ?? ????????";"????";"";"(Linnaeus 1758)";"Centracanthidae";"PERCOIDEI";"Yes"
"SPR";55;35;"1210506601";"Sprattus sprattus";"European sprat";"Sprat";"Espadín";"";"";"????? ???????????";"(Linnaeus 1758)";"Clupeidae";"CLUPEIFORMES";"Yes"
"SQM";19;57;"3210501002";"Illex coindetii";"Broadtail shortfin squid";"Encornet rouge";"Pota voladora";"";"";"";"(Verany 1839)";"Ommastrephidae";"CEPHALOPODA";"Yes"
"SQR";21;57;"3210400109";"Loligo vulgaris";"European squid";"Encornet";"Calamar";"?? ?????? ????? ???????";"????";"";"Lamarck 1798";"Loliginidae";"CEPHALOPODA";"Yes"
"SRG";11;33;"17039033XX";"Diplodus spp";"Sargo breams nei";"Sars, sparaillons nca";"Sargos, raspallones nep";"";"";"??????? ??????";"";"Sparidae";"PERCOIDEI";"Yes"
"SVE";6;56;"3161100105";"Chamelea gallina";"Striped venus";"Petite praire";"Chirla";"";"";"";"(Linnaeus 1758)";"Veneridae";"BIVALVIA";"Yes"
"SYC";49;38;"1080100301";"Scyliorhinus canicula";"Small-spotted catshark";"Petite roussette";"Pintarroja";"?????? ????????? ?????";"????";"";"(Linnaeus 1758)";"Scyliorhinidae";"CARCHARHINIFORMES";"Yes"
"TGS";37;45;"2280100117";"Penaeus kerathurus";"Caramote prawn";"Caramote";"Langostino";"";"";"";"(Forsskål 1775)";"Penaeidae";"NATANTIA";"Yes"
"TUR";39;31;"1830506403";"Scophthalmus maximus";"Turbot";"Turbot";"Rodaballo";"";"???";"??????";"(Linnaeus 1758)";"Scophthalmidae";"PLEURONECTIFORMES";"Yes"
"VMA";46;37;"1750100209";"Scomber colias";"Atlantic chub mackerel";"Maquereau espagnol atlantique";"Estornino del Atlántico";"";"";"???????? ????????";"Gmelin 1789";"Scombridae";"SCOMBROIDEI";"Yes"
"WHB";26;32;"1480403301";"Micromesistius poutassou";"Blue whiting(=Poutassou)";"Merlan bleu";"Bacaladilla";"????? ????";"???";"??????? ????????";"(Risso 1827)";"Gadidae";"GADIFORMES";"Yes"
"WHG";24;32;"1480403401";"Merlangius merlangus";"Whiting";"Merlan";"Plegonero";"";"";"???????";"(Linnaeus 1758)";"Gadidae";"GADIFORMES";"Yes"
